MLS,status,CurrListPrice,ListDate,StreetAddress,StreetName,StreetSuffix,City,State,ZIP,Area,Bedrooms,Bathrooms,SquareFootage,LotSize,Remarks,YearBuilt,Type
Listing Number,Status,List Price,Listing Date,Street #,Street Name,Suffix,City,State,Zip Code,Area,Total Bedrooms,Total Baths,SqFt Above Grade,Lot Acres,Marketing Remarks,Year Built,Property Type
14021749,A,319000.00,2014-04-29,51099,Saddlebag,Road,Decatur,MI,49045,St. Joseph County,4,3.00,2508.00,0.2800,"Take a look at this gem! Located on West Saddlebag Lake which is part of the Chain of Lakes - you can get to 3 other lakes without getting out of your boat. Over 600 acres of water! Although all of the lakes are all sport - Big Fish Lake and Finch Lake are the larger lakes where most of the activities occur. If you are looking for peace and quiet and great fishing, this is the place to be. The home is smartly laid out. Lots of room. Lots of quality! Huge kitchen with lots of cabinets, beautiful dining room. Real hardwood floors! 4 bedrooms, 2 1/2 baths and a wonderful 3 season room overlooking the lake and giving access to the exterior patio and raised deck! Unrestricted views of the undeveloped wet lands across the lake (no cottages or homes!) Lots of wild life! You have to see this well ",2006,Residential
14009855,A,139000.00,2014-03-03,14009,Marcellus,Highway,Marcellus,MI,49067,St. Joseph County,4,3.00,2161.00,8.0000,"This 4 bedroom 3 full bath home is located on the top of the hill overlooking the rural countryside. Only about 3/4 miles from town. Corner location. 5 year old addition. 8 acres of land. Very well maintained and plenty of room. New split from an original 80 acres. New property ID, SEV & Taxable will be assigned. A steal at $139,000.00 !!",1930,Residential
14043451,A,349000.00,2014-07-25,50060,Red Run,Road,Marcellus,MI,49067,St. Joseph County,4,2.00,1100.00,2.5000,"This well maintained lakefront home has 55 ft. frontage on Big Fish Lake (the largest of a 7 lake chain of lakes-you can get to 4 lakes without getting out of your boat!). This home has nice size rooms with beautiful hardwood floors. Nice size deck overlooking the lake-perfect place to relax or entertain. Lower level is a walk out with a bedroom, family room with fireplace, bathroom and kitchen. Also included is a back lot with an out building!! This home could be a summer home or year round home!",1958,Residential
14026320,A,182000.00,2014-05-15,16301,Parker,"",Decatur,MI,49045,Southwestern Michiga,1,2.00,989.00,0.1600,SAND BEACH! This cottage has 60 ft. of lake frontage on the 2nd largest lake of a 7 lake Chain of Lakes - you can travel to 4 of the lakes without getting out of your boat! The channels between the lakes with give you the feeling of discovery. 2 of the lakes are All Sports lakes and the other 2 lakes offer the peace and quiet you might be trying to escape to or a great spot to fish with the other lakes are busier! The cute cottage offers excellent views of the lake from the living room! The cottage is heated and insulated and can be occupied year around. The back lot with a nice 24 X 40 pole building is included! Aluminum dock is also included. You can't take a chance of missing this one!,1950,Residential
14021659,A,179000.00,2014-04-29,61221,Timberlane,Drive,Jones,MI,49061,St. Joseph County,2,1.00,1020.00,0.8300,"Driskel's Lake! There is over 142 ft. frontage on this great fishing and swimming lake! Take a look at this 2 bedroom 1 bath lakefront brick home. Great fishing and swimming. Watch the sun come up over the lake every morning with your java in hand from the 3 season (10 X 22) lake front room! 2 bedrooms, 1 full bath and full basement. Blacktop driveway. The lot is over 3/4 acre in size. Lots of room for those family get togethers. This is a must see!",1968,Residential
13017105,A,183700.00,2013-03-29,32594,South,Street,Lawton,MI,49065,Greater Kalamazoo,2,1.00,575.00,0.3400,GRAVEL LAKE! Gravel Lake is one of the most sought after all sports lake in this area! 38.6 ft of beautiful sandy beach! 2 bedroom cottage owned by the same owners for 20 years! Large 1/2 acre back lot providing plenty of room to build the Big Boy Toy and Boat Storage Building! Everything is included - including the pots and pans.,1952,Residential
14007992,A,219000.00,2014-02-18,50215,Meddolane,"",Marcellus,MI,49067,St. Joseph County,3,2.00,1080.00,0.4700,"Charming lake home, two completely finished levels with walkout, 120 ft frontage on beautiful Hemlock Lake, about 15 minutes from Schoolcraft. The view from upper deck or sun room is magnificent - watch the sunrise here. Hemlock lake is a 90 ft deep spring-fed pristine lake. Divers from all around come to dive this lake. Great fishing, including bass, blue gill, perch and lake trout! Multilevel deck affords great entertaining opportunities. New roof - 2010, two storage sheds, new garage door. Hobby room in garage.",1982,Residential
13008068,A,295000.00,2013-02-09,32800,South,Street,Marcellus,MI,49067,Greater Kalamazoo,2,1.00,816.00,0.3700,"GRAVEL LAKE!  You need to take a look at this gem!  
120 ft. of SAND lake frontage on one of the most sought after lakes in Southwest Michigan.  The main home has been completely remodeled in 2014 including drywall, windows, cabinets and floor coverings.  New 5'' well installed in 2014! Roof shingles were new in 2010! This is a  2 bedroom 1 bath with plenty of room to add on.  Large deck overlooking the lake!  The second cottage is referred to as the ''boat house'' and features a lakeside enclose porch with great views of the lake.  Works great as a guest house or can be rented separately! The sand beach does not get better than this one- this is a must see!  The lot is probably worth the asking price!",1990,Residential
14032659,A,279900.00,2014-06-10,10536,Harwood Lake,Road,Three Rivers,MI,49098,St. Joseph County,3,2.00,1165.00,1.4900,"Do you like Trout fishing? This is the lake! Great Trout, Bass and Blue Gill fishing. 140 ft. of frontage on springfed Harwood Lake! The home has been meticulously maintained. Lots of improvements have been made over the years. Featuring 3 bedrooms and a full bath on the main floor and additional sleeping room, workshop room and full bath in the basement. The enclosed sun room has a beautiful Vermont Casting wood stove and lots of windows! The living room/dining room has a huge picture window to enjoy the views of the lake and well kept yard to the utmost. Everything looks like new. Also included is a 2 car detached garage garage with 2 overhead doors and openers! There is a large deck at the lake from to sit and enjoy the lake and BBQ. Nice beach for the kids to pay in. You will want to p",1973,Residential
